,STATION_NAME,NAT_ABBR,LATITUDE,LONGITUDE,XCOORD,YCOORD,ELEVATION
146,"Gsteig, Gstaad",GSG,46.376000000000005,7.2785,587680,136130,1196.00
147,Guglera,GUG,46.75,7.2429,585040,177635, 877.00
148,Guttannen,GTT,46.656000000000006,8.2917,665296,167601,1055.00
149,Göschenen,GOS,46.693000000000005,8.5954,688477,171926, 950.30
150,Göscheneralp,GOA,46.647,8.5,681250,166790,1745.00
151,Gösgen,GOE,47.363,7.9737,640417,245937, 380.00
152,"Gütsch, Andermatt",GUE,46.652,8.615,690050,167475,2283.00
153,Güttingen,GUT,47.602,9.2794,738420,273960, 440.02
154,Hallau,HLL,47.696999999999996,8.4705,677456,283472, 419.00
155,Hausen am Albis,HAU,47.24,8.5224,682060,232660, 590.00
156,Herbetswil,HTW,47.297,7.5879,611292,238435, 544.00
157,Herisau,HES,47.394,9.2631,737730,250830, 700.00
158,Herzogenbuchsee,HEB,47.196999999999996,7.7022,619970,227350, 467.00
159,Hessigkofen,HEK,47.141999999999996,7.4696,602350,221220, 580.00
160,Hinterrhein,HIR,46.523999999999994,9.1838,733900,153980,1611.00
161,Hinwil,HIW,47.309,8.8114,703803,240755, 539.00
162,Hoch-Ybrig,HOY,47.012,8.7901,702760,207630,1458.00
163,Hondrich,HON,46.673,7.6807,618525,169130, 760.00
164,Huttwil,HUT,47.114,7.8374,630261,218189, 633.00
165,Hérémence,HER,46.178000000000004,7.4044,597356,114092,1218.00
166,Ilanz,ILZ,46.775,9.2153,735685,181966, 698.00
167,Illhart,ILH,47.621,9.0394,720330,275760, 540.00
168,Innerferrera,INF,46.52,9.444,753870,154070,1475.00
169,Innerthal,INN,47.106,8.9145,712019,218326, 903.00
170,Interlaken,INT,46.672,7.8701,633019,169093, 577.34
171,Isenthal,IST,46.911,8.5604,685460,196110, 778.00
172,Isone,TIISO,46.13399999999999,8.9938,720180,110320, 810.00
173,Jaun,JAU,46.611999999999995,7.2757,587520,162280,1030.00
174,Jungfraujoch,JUN,46.547,7.9853,641930,155275,3580.00
175,Jussy,JUS,46.229,6.2579,508910,120364, 466.00
176,"Kaiserstuhl, AG",KAI,47.57,8.4128,673300,269310, 361.00
